period,sp500_return,bond_yield_10y,vix,oil_price,fx_dxy,returns
1,-0.000985,2.4914,17.7774,71.053,99.949,-0.006249
2,0.004256,2.5365,18.2779,70.8875,100.1929,0.006593
3,0.007823,2.6049,17.9326,69.9017,100.2982,0.009173
4,0.001058,2.6424,21.1414,69.9462,100.174,-6.8e-05
5,0.010207,2.6827,21.4574,73.1907,100.7103,-0.00201
6,0.006851,2.664,16.0355,72.5857,100.1285,0.008581
7,0.007907,2.7214,23.4746,72.6524,100.5565,-0.001536
8,0.001859,2.863,23.4842,75.3191,100.9458,-0.001387
9,-0.006297,2.8228,21.6092,76.1573,100.6788,0.003518
10,-0.008412,2.8367,24.3351,78.1276,101.0722,-0.005626
11,0.01629,2.916,20.1036,75.7527,101.34,0.00085
12,0.000969,2.9583,22.3688,78.1588,101.2777,0.006545
13,0.00742,2.9355,21.825,76.3124,101.5102,-0.001433
14,-0.000173,3.0192,21.3495,77.5672,100.4739,-0.006873
15,-0.005645,3.0135,24.9335,78.387,101.393,-0.007432
16,0.012532,3.0434,22.7513,77.2624,101.7246,0.004189
17,0.014096,2.9983,25.6819,78.5599,102.0719,0.001642
18,-0.005079,2.9394,20.9685,81.5062,101.8291,-0.001715
19,-0.025535,3.0225,21.8106,78.7715,101.3157,-0.015543
20,0.019574,2.9204,19.2165,81.8153,101.4484,0.007821
21,0.001676,2.8926,19.843,78.0846,102.037,-0.000337
22,0.025718,2.9456,21.437,78.0201,101.686,0.011669
23,0.019803,2.8202,19.9749,80.887,102.3958,0.011619
24,0.001173,2.8468,14.7855,80.2672,101.7488,0.011648
25,-0.006121,2.8538,13.4467,79.304,101.9685,0.004237
26,0.016529,2.797,13.6819,80.4567,102.1048,0.014119
27,-0.007103,2.8144,15.4663,80.6426,102.4367,0.00135
28,0.003752,2.8213,15.2072,78.9228,101.9962,0.010391
29,0.001906,2.6935,16.6075,78.3237,101.2803,0.003623
30,0.003127,2.5892,15.5314,79.6841,101.5874,0.006069
31,-0.001557,2.4964,14.3542,78.34,101.6969,0.004648
32,0.005969,2.4919,14.0007,79.5227,101.7145,0.008186
33,0.00063,2.5841,9.325,78.5944,101.8766,0.007259
34,0.021517,2.4207,17.4819,76.4011,102.1339,0.009554
35,-0.006998,2.3754,12.4871,76.845,101.1413,0.009301
36,-0.001237,2.4118,11.1912,76.4235,103.2339,0.001697
37,-0.015848,2.2514,14.4011,76.4377,102.4638,-0.005677
38,-0.017025,2.2133,16.2799,75.4816,101.1398,-0.006916
39,0.01598,2.3004,15.3518,74.6082,101.3965,0.007026
40,0.001116,2.1813,15.8945,72.7668,101.3971,-0.000635
41,-0.012127,2.1538,10.6819,72.3064,101.9985,0.006098
42,0.001384,2.1409,15.1356,70.9975,101.505,0.009251
43,0.011536,2.0886,23.2635,71.3627,101.9746,0.002979
44,-0.001841,2.1577,20.3139,68.6018,101.5139,-0.001025
45,0.009215,1.9568,13.5015,67.1278,101.5885,0.007813
46,0.004397,1.9728,16.2759,66.2391,101.6878,0.005028
47,0.011523,2.0427,19.0399,70.5877,101.4369,0.002453
48,-0.005126,1.9708,15.7579,68.0956,101.5229,-0.002155
49,-0.007252,2.0205,24.1485,67.2268,101.1479,-0.010906
50,-0.000167,1.9455,21.0344,66.5839,102.0134,0.001258
51,0.011974,1.9849,23.128,64.1237,101.3217,0.00342
52,-0.007831,2.1371,23.3489,62.3406,101.3365,-0.010098
53,0.000615,2.0816,23.3354,61.5223,100.5677,-0.001169
54,0.014913,2.179,26.4081,60.9117,101.2519,-0.007293
55,0.01835,2.1263,20.669,66.4545,101.1123,-0.00059
56,0.003828,2.1107,23.2226,62.22,101.3127,-0.008229
57,0.004091,2.2751,21.2929,62.7479,100.7508,-0.003643
58,0.007727,2.2295,20.9053,64.6278,100.8916,0.000683
59,-0.006403,2.2285,25.0031,61.3587,100.6623,-0.009893
60,0.007381,2.3073,23.7248,60.9403,100.7127,0.001405
61,-0.000683,2.3173,19.8872,59.7854,99.8884,0.001156
62,8.7e-05,2.4874,25.8197,60.6607,99.5637,-0.008201
63,-0.000229,2.384,20.1872,60.8305,99.8994,-0.005362
64,-0.007746,2.5977,19.7413,58.9798,99.834,-0.002029
65,-0.006932,2.5824,20.8468,61.2229,100.4431,-0.008409
66,0.01306,2.5679,17.9,61.8183,100.1126,0.006189
67,-0.012506,2.6839,16.7203,58.6142,99.4253,-0.004867
68,-0.022731,2.7205,17.6172,59.1501,100.001,-0.009222
69,-0.006069,2.7136,17.9629,57.8305,99.3559,-0.006202
70,0.001369,2.7998,15.9785,61.935,99.4841,0.000548
71,-0.012719,2.8646,16.3362,62.587,98.9995,-0.005403
72,-4.6e-05,2.8601,14.7311,58.0658,99.5357,0.0045
73,0.013035,3.0093,13.5698,60.8581,99.1189,0.017221
74,-0.018443,2.9495,10.8408,57.3609,98.2181,-0.009788
75,0.012359,2.9059,12.9881,59.8537,99.1847,0.005152
76,0.015094,2.9193,11.6669,62.1916,98.8668,0.017796
77,0.001924,2.9236,11.9272,61.5976,99.0663,0.006808
78,-0.000713,3.0376,11.9431,62.7402,98.7711,0.010077
79,-0.000484,2.9817,10.9625,64.4974,98.3894,0.006343
80,-0.020318,3.0516,10.5451,62.8594,98.9771,-0.010055
81,-0.000274,2.9984,11.4643,66.6273,99.0859,-0.003113
82,-0.015339,3.0254,11.2003,64.645,98.4748,0.000112
83,-0.001856,2.9751,12.6833,67.8058,98.1653,0.004432
84,-0.005028,2.9564,14.4074,66.284,97.9025,0.003223
85,0.016154,2.9395,16.7818,68.4629,98.628,0.010057
86,0.002935,2.9424,16.0828,66.4373,98.2196,-0.004863
87,0.000535,2.8879,19.087,68.8282,98.5389,-0.000779
88,-0.010658,2.7609,15.3737,67.2623,98.3834,-0.004274
89,0.006873,2.7961,20.1134,71.6156,97.8387,0.000641
90,-0.005261,2.6694,20.0873,72.5221,98.0659,-0.006198
91,0.0126,2.5888,19.7884,71.6637,97.8166,0.010492
